Detector Type,Descriptor Type,Minimal Lidar-Based TTC [ms],Minimal Camera-Based TTC [ms],Maximal Lidar-Based TTC [ms],Maximal Camera-Based TTC [ms],Mean Lidar-Based TTC [ms],Mean Camera-Based TTC [ms],Median Lidar-Based TTC [ms],Median Camera-Based TTC [ms],Standard Deviation Lidar-Based TTC [ms],Standard Deviation Camera-Based TTC [ms]
SHITOMASI,BRISK,8.52156620,9.33784559,16.68938579,15.59966843,11.92520088,12.57780011,12.51559999,12.06116059,5.19616539,2.56161781
SHITOMASI,BRIEF,8.52156620,10.72119379,16.68938579,18.33675542,11.92520088,13.20789723,12.51559999,12.97883177,5.19616539,2.55514360
SHITOMASI,ORB,8.52156620,10.25917779,16.68938579,14.02073142,11.92520088,12.46626117,12.51559999,12.20221886,5.19616539,1.08523257
SHITOMASI,FREAK,8.52156620,10.29696335,16.68938579,14.23851761,11.92520088,12.41917862,12.51559999,12.53539806,5.19616539,0.81132855
SHITOMASI,SIFT,8.52156620,11.65240646,16.68938579,14.66179588,11.92520088,13.30973435,12.51559999,13.31594842,5.19616539,0.70704912
HARRIS,BRISK,8.52156620,-80.85253316,16.68938579,17.62038152,11.92520088,-0.06031918,12.51559999,11.24371765,5.19616539,788.77836088
HARRIS,BRIEF,8.52156620,5.60609668,16.68938579,35.38326278,11.92520088,14.26434014,12.51559999,12.58484487,5.19616539,58.58355168
HARRIS,ORB,8.52156620,5.66096575,16.68938579,568.32220463,11.92520088,63.86823409,12.51559999,12.24499411,5.19616539,25501.73982748
HARRIS,FREAK,8.52156620,-80.85253316,16.68938579,39.58402863,11.92520088,4.85943939,12.51559999,12.20818802,5.19616539,891.15888498
HARRIS,SIFT,8.52156620,-13.62628318,16.68938579,568.32220463,11.92520088,46.53332533,12.51559999,11.57921595,5.19616539,19562.46085794
FAST,BRISK,8.52156620,9.29330386,16.68938579,16.61627335,11.92520088,12.39122291,12.51559999,12.27828007,5.19616539,2.03356517
FAST,BRIEF,8.52156620,9.93546392,16.68938579,16.78392970,11.92520088,13.01305325,12.51559999,12.85314552,5.19616539,2.29069660
FAST,ORB,8.52156620,10.71327484,16.68938579,199.15665412,11.92520088,26.46477761,12.51559999,12.87112632,5.19616539,1968.14059270
FAST,FREAK,8.52156620,11.02964013,16.68938579,74.60606407,11.92520088,16.18842026,12.51559999,12.32915027,5.19616539,214.78390481
FAST,SIFT,8.52156620,10.52642120,16.68938579,22.75053551,11.92520088,13.80549497,12.51559999,12.89299692,5.19616539,6.80944908
BRISK,BRISK,8.52156620,9.70105372,16.68938579,25.18679838,11.92520088,15.29378109,12.51559999,14.97037538,5.19616539,17.11715337
BRISK,BRIEF,8.52156620,11.05396722,16.68938579,41.77857112,11.92520088,19.03013546,12.51559999,17.32649496,5.19616539,44.76087750
BRISK,ORB,8.52156620,11.44752070,16.68938579,19.42557320,11.92520088,15.17315928,12.51559999,14.92014902,5.19616539,8.05997653
BRISK,FREAK,8.52156620,9.24577145,16.68938579,22.30572088,11.92520088,15.18754978,12.51559999,14.61228132,5.19616539,13.26462833
BRISK,SIFT,8.52156620,11.04517347,16.68938579,33.00193011,11.92520088,15.01120783,12.51559999,13.54067035,5.19616539,24.14782386
ORB,BRISK,8.52156620,7.47226123,16.68938579,596.74523275,11.92520088,82.12162154,12.51559999,20.68873365,5.19616539,26567.09415275
ORB,BRIEF,8.52156620,-48.15195469,16.68938579,93.01489514,11.92520088,22.62133230,12.51559999,24.76010279,5.19616539,875.33494027
ORB,ORB,8.52156620,8.28796092,16.68938579,30.27671319,11.92520088,18.16532736,12.51559999,17.56083656,5.19616539,60.57208997
ORB,FREAK,8.52156620,7.05865960,16.68938579,54.17730572,11.92520088,18.42087483,12.51559999,12.20744536,5.19616539,178.73377135
ORB,SIFT,8.52156620,7.86152181,16.68938579,11213.49667976,11.92520088,774.52485130,12.51559999,17.52216741,5.19616539,7784655.48142679
AKAZE,BRISK,8.52156620,10.08550739,16.68938579,19.83825570,11.92520088,14.29675952,12.51559999,13.92294059,5.19616539,5.43070106
AKAZE,BRIEF,8.52156620,10.19392674,16.68938579,20.09001813,11.92520088,14.55816929,12.51559999,14.23112854,5.19616539,7.68977102
AKAZE,ORB,8.52156620,10.38465508,16.68938579,18.91159065,11.92520088,14.55767896,12.51559999,13.98105685,5.19616539,8.16938896
AKAZE,FREAK,8.52156620,9.87627006,16.68938579,20.16914836,11.92520088,13.78525667,12.51559999,14.03604183,5.19616539,7.97731948
AKAZE,AKAZE,8.52156620,10.30410056,16.68938579,18.24973978,11.92520088,14.25402082,12.51559999,13.90096890,5.19616539,5.34912523
AKAZE,SIFT,8.52156620,9.89602831,16.68938579,19.56416752,11.92520088,14.52597367,12.51559999,14.28655391,5.19616539,6.91801748
SIFT,BRISK,8.52156620,9.52960439,16.68938579,23.14746663,11.92520088,13.19517264,12.51559999,13.05343562,5.19616539,11.20773333
SIFT,BRIEF,8.52156620,9.26161932,16.68938579,21.30869629,11.92520088,12.85452261,12.51559999,12.25078809,5.19616539,8.71037022
SIFT,FREAK,8.52156620,8.72478844,16.68938579,20.51434433,11.92520088,12.44312333,12.51559999,12.88770637,5.19616539,7.82190827
SIFT,SIFT,8.52156620,8.69190216,16.68938579,18.81833163,11.92520088,12.05005023,12.51559999,11.68818225,5.19616539,5.23837784
